Company Name,Exchange:Ticker,Country,Region,Primary Industry,AV Industry,AV Sector,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,IQ_LTM
"Wal-Mart Stores, Inc. (NYSE:WMT)",NYSE:WMT,United States,North America,Hypermarkets and Super Centers,Services,Retail,"$119,299 ","$139,208 ","$166,809 ","$193,295 ","$219,812 ","$246,525 ","$258,681 ","$287,989 ","$315,654 ","$348,650 ","$378,799 ","$405,607 ","$408,214 ","$421,849 ","$446,950 ","$469,162 ","$476,294 ","$485,651 ","$482,130 ","$484,604 "
Toyota Motor Corporation (TSE:7203),TSE:7203,Japan,Asia-Pacific,Automobile Manufacturers,Auto & Transportation,Auto OEM,"$102,102 ","$111,541 ","$112,603 ","$114,855 ","$132,071 ","$135,527 ","$151,204 ","$162,192 ","$183,921 ","$209,373 ","$229,841 ","$179,486 ","$165,684 ","$166,058 ","$162,473 ","$192,903 ","$224,619 ","$237,441 ","$248,322 ","$237,161 "
Volkswagen Aktiengesellschaft (XTRA:VOW3),XTRA:VOW3,Germany,Europe,Automobile Manufacturers,Auto & Transportation,Auto OEM,"$72,212 ","$79,081 ","$90,011 ","$96,518 ","$94,692 ","$94,641 ","$93,596 ","$100,229 ","$110,337 ","$114,568 ","$119,735 ","$110,665 ","$133,482 ","$167,634 ","$202,710 ","$207,267 ","$213,002 ","$226,665 ",$0 ,"$224,052 "
Royal Dutch Shell plc (ENXTAM:RDSA),ENXTAM:RDSA,Netherlands,Europe,Integrated Oil and Gas,Resources/Process Material,Oil & Gas,"$93,692 ","$105,366 ","$149,146 ","$135,211 ","$179,431 ","$201,728 ","$265,190 ","$306,731 ","$318,845 ","$355,782 ","$458,361 ","$278,188 ","$368,056 ","$470,171 ","$467,153 ","$451,235 ","$421,105 ","$264,960 ",$0 ,"$226,970 "
Apple Inc. (NasdaqGS:AAPL),NasdaqGS:AAPL,United States,North America,"Technology Hardware, Storage and Peripherals",TIME,Tech HW Equipment,"$5,941 ","$6,134 ","$7,983 ","$5,363 ","$5,742 ","$6,207 ","$8,279 ","$13,931 ","$19,315 ","$24,006 ","$32,479 ","$36,537 ","$65,225 ","$108,249 ","$156,508 ","$170,910 ","$182,795 ","$233,715 ","$215,639 ","$218,118 "
Berkshire Hathaway Inc. (NYSE:BRK.A),NYSE:BRK.A,United States,North America,Multi-Sector Holdings,Services,Holding Company,"$11,417 ","$22,663 ","$30,021 ","$36,305 ","$40,219 ","$58,637 ","$69,684 ","$73,913 ","$95,118 ","$110,930 ","$106,636 ","$113,444 ","$132,417 ","$140,796 ","$159,429 ","$176,616 ","$189,666 ","$199,938 ",$0 ,"$214,596 "
Exxon Mobil Corporation (NYSE:XOM),NYSE:XOM,United States,North America,Integrated Oil and Gas,Resources/Process Material,Oil & Gas,"$100,697 ","$160,883 ","$206,083 ","$187,510 ","$178,909 ","$213,199 ","$263,989 ","$328,213 ","$335,086 ","$358,600 ","$425,071 ","$275,564 ","$341,578 ","$433,526 ","$420,714 ","$390,247 ","$364,763 ","$236,810 ","$197,518 ","$197,518 "
McKesson Corporation (NYSE:MCK),NYSE:MCK,United States,North America,Healthcare Distributors,Services,Health Care,"$20,857 ","$30,382 ","$36,734 ","$42,010 ","$50,006 ","$57,121 ","$69,506 ","$80,515 ","$88,050 ","$92,977 ","$101,703 ","$106,632 ","$108,702 ","$112,084 ","$122,734 ","$122,455 ","$137,609 ","$179,045 ","$190,884 ","$196,498 "
UnitedHealth Group Incorporated (NYSE:UNH),NYSE:UNH,United States,North America,Managed Healthcare,Services,Health Care,"$17,355 ","$19,562 ","$21,122 ","$23,454 ","$25,020 ","$28,823 ","$37,218 ","$45,365 ","$71,542 ","$75,431 ","$81,186 ","$87,138 ","$94,155 ","$101,862 ","$110,618 ","$122,489 ","$130,474 ","$157,107 ","$184,840 ","$184,840 "
Samsung Electronics Co. Ltd. (KOSE:A005930),KOSE:A005930,South Korea,Asia-Pacific,"Technology Hardware, Storage and Peripherals",TIME,Tech HW Equipment,"$22,466 ","$27,972 ","$37,944 ","$40,486 ","$51,928 ","$56,503 ","$71,449 ","$70,287 ","$74,468 ","$85,872 ","$105,735 ","$121,164 ","$134,795 ","$143,836 ","$175,307 ","$199,357 ","$179,755 ","$175,217 ",$0 ,"$175,972 "
